Running sample 3 with seed 200003
 N=         512
 z=           6
 N=         512
 z=           6
 temp_list=  0.20000000000000001       0.25806451612903225       0.31612903225806455       0.37419354838709679       0.43225806451612903       0.49032258064516132       0.54838709677419351       0.60645161290322580       0.66451612903225810       0.72258064516129039       0.78064516129032269       0.83870967741935498       0.89677419354838706       0.95483870967741935        1.0129032258064516        1.0709677419354839        1.1290322580645162        1.1870967741935485        1.2451612903225806        1.3032258064516129        1.3612903225806452        1.4193548387096775        1.4774193548387098        1.5354838709677419        1.5935483870967742        1.6516129032258065        1.7096774193548387        1.7677419354838710        1.8258064516129031        1.8838709677419356        1.9419354838709677        2.0000000000000000     
 Post-transient swap statistics will be measured after MCS =               100000
 Swap acceptance rates after transient:
  pair      Tk          Tk+1        rateA       rateB
   1     0.20000     0.25806    0.4728    0.4755
   2     0.25806     0.31613    0.5049    0.5095
   3     0.31613     0.37419    0.5294    0.5342
   4     0.37419     0.43226    0.5524    0.5581
   5     0.43226     0.49032    0.5715    0.5805
   6     0.49032     0.54839    0.5893    0.5916
   7     0.54839     0.60645    0.6058    0.6039
   8     0.60645     0.66452    0.6164    0.6103
   9     0.66452     0.72258    0.6252    0.6189
  10     0.72258     0.78065    0.6207    0.6227
  11     0.78065     0.83871    0.6276    0.6310
  12     0.83871     0.89677    0.6322    0.6354
  13     0.89677     0.95484    0.6350    0.6339
  14     0.95484     1.01290    0.6347    0.6390
  15     1.01290     1.07097    0.6400    0.6440
  16     1.07097     1.12903    0.6528    0.6447
  17     1.12903     1.18710    0.6487    0.6471
  18     1.18710     1.24516    0.6544    0.6546
  19     1.24516     1.30323    0.6642    0.6654
  20     1.30323     1.36129    0.6713    0.6684
  21     1.36129     1.41935    0.6807    0.6771
  22     1.41935     1.47742    0.6856    0.6847
  23     1.47742     1.53548    0.6969    0.6941
  24     1.53548     1.59355    0.7083    0.7086
  25     1.59355     1.65161    0.7138    0.7160
  26     1.65161     1.70968    0.7268    0.7246
  27     1.70968     1.76774    0.7352    0.7350
  28     1.76774     1.82581    0.7463    0.7452
  29     1.82581     1.88387    0.7566    0.7517
  30     1.88387     1.94194    0.7666    0.7614
  31     1.94194     2.00000    0.7690    0.7736

 OK: all post-transient swap acceptance rates are >= 0.3
