Running sample 2 with seed 200002
 N=         512
 z=           6
 N=         512
 z=           6
 temp_list=  0.20000000000000001       0.25806451612903225       0.31612903225806455       0.37419354838709679       0.43225806451612903       0.49032258064516132       0.54838709677419351       0.60645161290322580       0.66451612903225810       0.72258064516129039       0.78064516129032269       0.83870967741935498       0.89677419354838706       0.95483870967741935        1.0129032258064516        1.0709677419354839        1.1290322580645162        1.1870967741935485        1.2451612903225806        1.3032258064516129        1.3612903225806452        1.4193548387096775        1.4774193548387098        1.5354838709677419        1.5935483870967742        1.6516129032258065        1.7096774193548387        1.7677419354838710        1.8258064516129031        1.8838709677419356        1.9419354838709677        2.0000000000000000     
 Post-transient swap statistics will be measured after MCS =               100000
 Swap acceptance rates after transient:
  pair      Tk          Tk+1        rateA       rateB
   1     0.20000     0.25806    0.5741    0.5750
   2     0.25806     0.31613    0.5639    0.5725
   3     0.31613     0.37419    0.5545    0.5689
   4     0.37419     0.43226    0.5625    0.5654
   5     0.43226     0.49032    0.5595    0.5628
   6     0.49032     0.54839    0.5610    0.5482
   7     0.54839     0.60645    0.5593    0.5556
   8     0.60645     0.66452    0.5740    0.5800
   9     0.66452     0.72258    0.5926    0.5906
  10     0.72258     0.78065    0.6050    0.6028
  11     0.78065     0.83871    0.6161    0.6188
  12     0.83871     0.89677    0.6248    0.6204
  13     0.89677     0.95484    0.6375    0.6334
  14     0.95484     1.01290    0.6427    0.6378
  15     1.01290     1.07097    0.6451    0.6489
  16     1.07097     1.12903    0.6526    0.6565
  17     1.12903     1.18710    0.6596    0.6606
  18     1.18710     1.24516    0.6632    0.6590
  19     1.24516     1.30323    0.6685    0.6686
  20     1.30323     1.36129    0.6708    0.6746
  21     1.36129     1.41935    0.6763    0.6782
  22     1.41935     1.47742    0.6834    0.6844
  23     1.47742     1.53548    0.6931    0.6942
  24     1.53548     1.59355    0.6990    0.7022
  25     1.59355     1.65161    0.7087    0.7078
  26     1.65161     1.70968    0.7214    0.7137
  27     1.70968     1.76774    0.7257    0.7325
  28     1.76774     1.82581    0.7372    0.7398
  29     1.82581     1.88387    0.7512    0.7458
  30     1.88387     1.94194    0.7599    0.7602
  31     1.94194     2.00000    0.7730    0.7667

 OK: all post-transient swap acceptance rates are >= 0.3
