Running sample 4 with seed 200004
 N=         512
 z=           6
 N=         512
 z=           6
 temp_list=  0.20000000000000001       0.25806451612903225       0.31612903225806455       0.37419354838709679       0.43225806451612903       0.49032258064516132       0.54838709677419351       0.60645161290322580       0.66451612903225810       0.72258064516129039       0.78064516129032269       0.83870967741935498       0.89677419354838706       0.95483870967741935        1.0129032258064516        1.0709677419354839        1.1290322580645162        1.1870967741935485        1.2451612903225806        1.3032258064516129        1.3612903225806452        1.4193548387096775        1.4774193548387098        1.5354838709677419        1.5935483870967742        1.6516129032258065        1.7096774193548387        1.7677419354838710        1.8258064516129031        1.8838709677419356        1.9419354838709677        2.0000000000000000     
 Post-transient swap statistics will be measured after MCS =               100000
 Swap acceptance rates after transient:
  pair      Tk          Tk+1        rateA       rateB
   1     0.20000     0.25806    0.5122    0.5008
   2     0.25806     0.31613    0.5040    0.4906
   3     0.31613     0.37419    0.5411    0.5366
   4     0.37419     0.43226    0.5790    0.5848
   5     0.43226     0.49032    0.6123    0.6151
   6     0.49032     0.54839    0.6275    0.6280
   7     0.54839     0.60645    0.6331    0.6413
   8     0.60645     0.66452    0.6416    0.6380
   9     0.66452     0.72258    0.6449    0.6471
  10     0.72258     0.78065    0.6499    0.6446
  11     0.78065     0.83871    0.6436    0.6488
  12     0.83871     0.89677    0.6416    0.6447
  13     0.89677     0.95484    0.6356    0.6395
  14     0.95484     1.01290    0.6287    0.6283
  15     1.01290     1.07097    0.6268    0.6275
  16     1.07097     1.12903    0.6328    0.6324
  17     1.12903     1.18710    0.6389    0.6331
  18     1.18710     1.24516    0.6433    0.6476
  19     1.24516     1.30323    0.6555    0.6568
  20     1.30323     1.36129    0.6615    0.6626
  21     1.36129     1.41935    0.6768    0.6726
  22     1.41935     1.47742    0.6799    0.6781
  23     1.47742     1.53548    0.6924    0.6913
  24     1.53548     1.59355    0.7016    0.7046
  25     1.59355     1.65161    0.7116    0.7115
  26     1.65161     1.70968    0.7173    0.7185
  27     1.70968     1.76774    0.7258    0.7318
  28     1.76774     1.82581    0.7430    0.7394
  29     1.82581     1.88387    0.7492    0.7496
  30     1.88387     1.94194    0.7611    0.7599
  31     1.94194     2.00000    0.7681    0.7706

 OK: all post-transient swap acceptance rates are >= 0.3
