Running sample 1 with seed 200001
 N=         512
 z=           6
 N=         512
 z=           6
 temp_list=  0.20000000000000001       0.25806451612903225       0.31612903225806455       0.37419354838709679       0.43225806451612903       0.49032258064516132       0.54838709677419351       0.60645161290322580       0.66451612903225810       0.72258064516129039       0.78064516129032269       0.83870967741935498       0.89677419354838706       0.95483870967741935        1.0129032258064516        1.0709677419354839        1.1290322580645162        1.1870967741935485        1.2451612903225806        1.3032258064516129        1.3612903225806452        1.4193548387096775        1.4774193548387098        1.5354838709677419        1.5935483870967742        1.6516129032258065        1.7096774193548387        1.7677419354838710        1.8258064516129031        1.8838709677419356        1.9419354838709677        2.0000000000000000     
 Post-transient swap statistics will be measured after MCS =               100000
 Swap acceptance rates after transient:
  pair      Tk          Tk+1        rateA       rateB
   1     0.20000     0.25806    0.5241    0.5230
   2     0.25806     0.31613    0.5596    0.5504
   3     0.31613     0.37419    0.5778    0.5802
   4     0.37419     0.43226    0.5964    0.5954
   5     0.43226     0.49032    0.6102    0.6078
   6     0.49032     0.54839    0.6180    0.6232
   7     0.54839     0.60645    0.6298    0.6311
   8     0.60645     0.66452    0.6372    0.6394
   9     0.66452     0.72258    0.6409    0.6436
  10     0.72258     0.78065    0.6451    0.6434
  11     0.78065     0.83871    0.6410    0.6426
  12     0.83871     0.89677    0.6410    0.6400
  13     0.89677     0.95484    0.6373    0.6324
  14     0.95484     1.01290    0.6233    0.6245
  15     1.01290     1.07097    0.6186    0.6154
  16     1.07097     1.12903    0.6128    0.6104
  17     1.12903     1.18710    0.6172    0.6190
  18     1.18710     1.24516    0.6310    0.6330
  19     1.24516     1.30323    0.6442    0.6447
  20     1.30323     1.36129    0.6607    0.6626
  21     1.36129     1.41935    0.6724    0.6740
  22     1.41935     1.47742    0.6865    0.6890
  23     1.47742     1.53548    0.6910    0.6918
  24     1.53548     1.59355    0.7058    0.7053
  25     1.59355     1.65161    0.7128    0.7128
  26     1.65161     1.70968    0.7266    0.7251
  27     1.70968     1.76774    0.7360    0.7361
  28     1.76774     1.82581    0.7443    0.7426
  29     1.82581     1.88387    0.7558    0.7520
  30     1.88387     1.94194    0.7617    0.7627
  31     1.94194     2.00000    0.7708    0.7715

 OK: all post-transient swap acceptance rates are >= 0.3
